park_name,posts_count,facilities_count
29th & Diamond Open Space,5,0
Alamo Square,188,3
Alice Marble Tennis Courts and George Sterling Park,6,2
Alta Plaza Park,18,4
Aptos Playground and Park,3,2
Balboa Natural Area,1,0
Balboa Park,17,10
Berkeley Way Open Space,1,0
Bernal Heights Park,150,1
Bernal Heights Rec Center,6,2
Betty Ann Ong Chinese Rec Center,60,2
Billy Goat Hill,5,1
Brooks Park,2,0
Buchanan Street Mall,2,1
Carl Larsen Park,5,5
Cayuga Playground,1,3
Corona Heights Park,380,6
Crocker Amazon Playground,13,8
Duboce Park,56,2
Duncan & Castro Open Space,1,1
Edgehill Mountain,4,1
Esprit Park,2,1
Eureka Valley Rec Center,5,3
Excelsior Playground,7,2
Father Alfred E. Boeddeker Park,3,2
Fay Park,98,0
Francisco Park,568,2
Franklin Square,13,3
Garfield Square,4,4
George Christopher Playground,7,2
Golden Gate Heights Park,19,1
Grand View Park,23,1
Grattan Playground,2,4
Hawk Hill,9,1
Hayes Valley Playground,1,3
Heron's Head Park,1,0
Holly Park,133,4
In Chan Kaajal Park,1,1
India Basin - Shoreline Park,1,1
Interior Greenbelt,1,3
J.P. Murphy Playground,2,3
Jackson Playground,3,3
Jefferson Square,1,1
Joe DiMaggio Playground,457,4
Jose Coronado Playground,1,4
Kite Hill,4,1
Lafayette Park,21,3
Louis Sutter Playground,1,1
McCoppin Square,53,2
McKinley Square,2,3
Midtown Terrace Playground,1,2
Miraloma Playground,6,4
Mission Dolores Park,676,2
Mission Playground,7,1
Moscone Rec Center,29,8
Mountain Lake Park,29,7
Mt. Olympus,13,1
Palega Playground,17,3
Palou & Phelps Park,1,2
Parkside Square,27,4
Parque Ninos Unidos,4,1
Peixotto Playground,1,1
Portsmouth Square,369,1
Potrero Hill Rec Center,1,3
Precita Park,2,1
Presidio Wall Playground,4,3
Richmond Rec Center,1,2
SOMA West Dog Park,3,1
SOMA West Skate Park,4,1
South Park,2,1
St. Mary's Rec Center,1,5
States Street Playground,4,3
Sue Bierman Park,32,1
Sunnyside Playground,5,1
Tank Hill,40,1
Visitacion Valley Greenway,3,1
Walter Haas Playground,1,3
West Portal Playground,3,3
West Sunset Playground,7,1
Willie Woo Woo Wong Playground,350,3
Woh Hei Yuen,102,1
Total,4121,189
