location_name,time,date,latitude,longitude
Fallen Bridge Mini Park,2022-07-05 00:48:14,2022-07-05,37.762326,-122.406041
Sunnyside Conservatory,2021-07-31 20:24:43,2021-07-31,37.73173,-122.440864
Sunnyside Conservatory,2021-07-31 20:25:33,2021-07-31,37.73183,-122.440789
Saturn Street Steps,2022-09-14 10:48:53,2022-09-14,37.762784,-122.44077
Saturn Street Steps,2022-09-14 11:26:22,2022-09-14,37.762784,-122.44077
10th Ave & Clement Mini Park,2023-04-12 19:45:43,2023-04-12,37.78193,-122.467942
Alioto Mini Park,2022-02-12 09:24:48,2022-02-12,37.758819,-122.418189
Alioto Mini Park,2022-02-12 09:30:18,2022-02-12,37.758769,-122.418253
Alioto Mini Park,2022-02-12 09:30:21,2022-02-12,37.758769,-122.418237
Alioto Mini Park,2021-07-22 16:55:09,2021-07-22,37.759036,-122.418178
Ina Coolbrith Park,2023-04-13 15:07:48,2023-04-13,37.79839,-122.413455
Ina Coolbrith Park,2023-05-01 15:09:59,2023-05-01,37.798314,-122.413598
Ina Coolbrith Park,2023-05-01 15:07:22,2023-05-01,37.798085,-122.41334
Ina Coolbrith Park,2023-05-01 15:14:13,2023-05-01,37.798314,-122.413598
Ina Coolbrith Park,2023-04-23 15:58:35,2023-04-23,37.798085,-122.41334
Ina Coolbrith Park,2023-04-23 15:59:07,2023-04-23,37.798085,-122.41334
Ina Coolbrith Park,2023-04-23 16:06:57,2023-04-23,37.798314,-122.413598
Ina Coolbrith Park,2023-04-23 16:00:26,2023-04-23,37.798085,-122.41334
Ina Coolbrith Park,2023-04-23 16:02:56,2023-04-23,37.798085,-122.41334
Ina Coolbrith Park,2023-04-23 16:09:26,2023-04-23,37.798314,-122.413598
Ina Coolbrith Park,2023-04-23 16:25:32,2023-04-23,37.798314,-122.413598
Ina Coolbrith Park,2023-04-23 16:25:35,2023-04-23,37.798314,-122.413598
Ina Coolbrith Park,2023-04-06 15:35:59,2023-04-06,37.798085,-122.41334
Ina Coolbrith Park,2023-04-06 15:36:10,2023-04-06,37.798085,-122.41334
Ina Coolbrith Park,2023-04-06 15:38:41,2023-04-06,37.798085,-122.41334
Ina Coolbrith Park,2023-04-06 15:38:58,2023-04-06,37.798085,-122.41334
Ina Coolbrith Park,2023-04-06 15:39:22,2023-04-06,37.798085,-122.41334
Ina Coolbrith Park,2023-04-06 15:43:31,2023-04-06,37.798314,-122.413598
Ina Coolbrith Park,2023-04-06 15:44:04,2023-04-06,37.798314,-122.413598
