Map_Label,Longitude,Latitude,Acres,TMA_PropertyID,SquareFeet,PerimeterLength,PropertyType,Address,City,State,Zipcode,Complex,PSA,SupDist,Ownership,Land_ID,State_Senate,MONS_Neighborhood,Police_District,US_Congress,Realtor_Neighborhood,State_Assembly,Planning_Neighborhood,shape,created_date,last_edited_date
Broadway Tunnel West Mini Park,-122.41742316,37.79643555,0.12450614,203,5423.48692693,317.6084571,Mini Park,1201 Broadway,San Francisco,CA,94109,North Beach Complex,PSA1,3,Public Works,621.0,11th Senatorial District,"Russian Hill,Nob Hill",Central,12th Congressional District,Nob Hill,17th Assembly District,Nob Hill,"MULTIPOLYGON (((-122.4172362 37.796398, -122.4172524 37.7964771, -122.4172568 37.796499, -122.4172636 37.7965321, -122.417479 37.7965043, -122.4175109 37.7965003, -122.4175597 37.7964942, -122.4175846 37.7964911, -122.4176341 37.796485, -122.4176098 37.7963482, -122.4172362 37.796398)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Mullen & Peralta Mini Park,-122.40880709,37.74607639,0.45038527,176,19618.77719044,694.97758889,Mini Park,Mullen & Peralta,San Francisco,CA,94110,Bernal/St. Mary's Complex,PSA6,9,Public Works,564.0,11th Senatorial District,Peralta Heights,Ingleside,12th Congressional District,Bernal Heights,17th Assembly District,Bernal Heights,"MULTIPOLYGON (((-122.4090072 37.7463391, -122.4090072 37.7463382, -122.4090071 37.7463372, -122.4090071 37.7463363, -122.409007 37.7463359, -122.4089476 37.7456918, -122.4089475 37.7456913, -122.4089474 37.7456908, -122.4089473 37.7456904, -122.4089472 37.7456899, -122.408947 37.7456894, -122.4089469 37.745689, -122.4089467 37.7456885, -122.4089465 37.7456881, -122.4089463 37.7456876, -122.408946 37.7456872, -122.4089458 37.7456867, -122.4089455 37.7456863, -122.4089452 37.7456859, -122.408945 37.7456856, -122.4089447 37.7456853, -122.4089444 37.7456849, -122.4089441 37.7456846, -122.4089438 37.7456843, -122.4089435 37.745684, -122.4089432 37.7456838, -122.4089428 37.7456834, -122.4089425 37.7456832, -122.4089422 37.7456829, -122.4089417 37.7456826, -122.4089413 37.7456823, -122.4089408 37.745682, -122.4089403 37.7456817, -122.4089398 37.7456814, -122.4089394 37.7456812, -122.408939 37.7456811, -122.4089385 37.7456808, -122.4089381 37.7456806, -122.4089283 37.7456767, -122.4089187 37.7456726, -122.4089091 37.7456684, -122.4088996 37.745664, -122.4088903 37.7456596, -122.4088854 37.7456571, -122.4088847 37.7456566, -122.408884 37.7456562, -122.4088833 37.7456557, -122.4088825 37.7456552, -122.4088818 37.7456548, -122.4088811 37.7456543, -122.4088803 37.7456539, -122.4088795 37.7456535, -122.4088788 37.7456531, -122.408878 37.7456527, -122.4088772 37.7456523, -122.4088764 37.7456519, -122.4088756 37.7456515, -122.4088748 37.7456512, -122.408874 37.7456508, -122.4088732 37.7456505, -122.4088723 37.7456502, -122.4088715 37.7456499, -122.4088706 37.7456496, -122.4088698 37.7456493, -122.4088689 37.745649, -122.4088681 37.7456488, -122.4088672 37.7456485, -122.4088663 37.7456483, -122.4088654 37.745648, -122.4088645 37.7456478, -122.4088636 37.7456476, -122.4088627 37.7456474, -122.4088618 37.7456473, -122.4088609 37.7456471, -122.40886 37.745647, -122.4088591 37.7456468, -122.4088582 37.7456467, -122.4088573 37.7456466, -122.4088564 37.7456465, -122.4088555 37.7456464, -122.4088545 37.7456463, -122.4088536 37.7456462, -122.4088527 37.7456462, -122.4088518 37.7456462, -122.4088508 37.7456461, -122.4088499 37.7456461, -122.408849 37.7456461, -122.408848 37.7456461, -122.4088471 37.7456462, -122.4088462 37.7456462, -122.4088453 37.7456463, -122.4088444 37.7456463, -122.4088434 37.7456464, -122.4088425 37.7456465, -122.4088416 37.7456466, -122.4088407 37.7456467, -122.4088398 37.7456469, -122.4088394 37.7456469, -122.4088413 37.745668, -122.4088608 37.7458787, -122.4088097 37.7459009, -122.4087338 37.7459338, -122.408658 37.7459668, -122.4085801 37.7460006, -122.4085118 37.7460303, -122.4086234 37.7461966, -122.4086891 37.746292, -122.4086908 37.7462923, -122.4086978 37.7462938, -122.4087047 37.7462953, -122.4087116 37.746297, -122.4087184 37.7462987, -122.4087252 37.7463006, -122.4087319 37.7463025, -122.4087387 37.7463045, -122.4087453 37.7463066, -122.408752 37.7463088, -122.4087585 37.7463111, -122.4087651 37.7463135, -122.4087715 37.746316, -122.4087779 37.7463186, -122.4087843 37.7463212, -122.4087906 37.746324, -122.4087968 37.7463268, -122.408803 37.7463297, -122.4088091 37.7463328, -122.4088151 37.7463358, -122.4088211 37.746339, -122.408827 37.7463423, -122.4088328 37.7463456, -122.4088378 37.7463485, -122.4088963 37.7463837, -122.4088972 37.7463843, -122.4088982 37.7463849, -122.4088992 37.7463854, -122.4089002 37.7463859, -122.4089012 37.7463864, -122.4089023 37.746387, -122.4089033 37.7463874, -122.4089043 37.7463879, -122.4089054 37.7463884, -122.4089065 37.7463888, -122.4089075 37.7463893, -122.4089086 37.7463897, -122.4089097 37.7463901, -122.4089108 37.7463905, -122.408912 37.7463908, -122.4089131 37.7463912, -122.4089142 37.7463915, -122.4089153 37.7463918, -122.4089165 37.7463921, -122.4089176 37.7463924, -122.4089188 37.7463927, -122.40892 37.746393, -122.4089211 37.7463932, -122.4089223 37.7463934, -122.4089235 37.7463936, -122.4089247 37.7463938, -122.4089258 37.746394, -122.408927 37.7463942, -122.4089282 37.7463943, -122.4089294 37.7463944, -122.4089306 37.7463946, -122.4089318 37.7463947, -122.408933 37.7463947, -122.4089342 37.7463948, -122.4089354 37.7463948, -122.4089366 37.7463949, -122.4089379 37.7463949, -122.4089391 37.7463949, -122.4089403 37.7463948, -122.4089415 37.7463948, -122.4089427 37.7463948, -122.4089439 37.7463947, -122.4089451 37.7463946, -122.4089463 37.7463945, -122.4089475 37.7463944, -122.4089487 37.7463942, -122.4089499 37.7463941, -122.4089511 37.7463939, -122.4089522 37.7463937, -122.4089534 37.7463935, -122.4089546 37.7463933, -122.4089558 37.746393, -122.4089569 37.7463928, -122.4089581 37.7463925, -122.4089592 37.7463922, -122.4089604 37.7463919, -122.4089615 37.7463916, -122.4089627 37.7463913, -122.4089638 37.7463909, -122.4089649 37.7463906, -122.408966 37.7463902, -122.4089671 37.7463898, -122.4089682 37.7463894, -122.4089693 37.746389, -122.4089704 37.7463885, -122.4089714 37.7463881, -122.4089725 37.7463876, -122.4089735 37.7463871, -122.4089745 37.7463866, -122.4089756 37.7463861, -122.4089766 37.7463856, -122.4089776 37.746385, -122.4089786 37.7463845, -122.4089795 37.7463839, -122.4089805 37.7463833, -122.4089814 37.7463827, -122.4089824 37.7463821, -122.4089833 37.7463815, -122.4089842 37.7463809, -122.4089851 37.7463802, -122.408986 37.7463796, -122.4089868 37.7463789, -122.4089877 37.7463782, -122.4089885 37.7463775, -122.4089893 37.7463768, -122.4089901 37.7463761, -122.4089909 37.7463754, -122.4089917 37.7463746, -122.4089924 37.7463739, -122.4089932 37.7463731, -122.4089939 37.7463724, -122.4089946 37.7463716, -122.4089953 37.7463708, -122.408996 37.74637, -122.4089966 37.7463692, -122.4089972 37.7463684, -122.4089979 37.7463675, -122.4089984 37.7463667, -122.408999 37.7463659, -122.4089996 37.746365, -122.4090001 37.7463642, -122.4090007 37.7463633, -122.4090012 37.7463624, -122.4090016 37.7463615, -122.4090021 37.7463607, -122.4090025 37.7463598, -122.409003 37.7463589, -122.4090034 37.746358, -122.4090038 37.7463571, -122.4090041 37.7463561, -122.4090045 37.7463552, -122.4090048 37.7463543, -122.4090051 37.7463534, -122.4090054 37.7463524, -122.4090057 37.7463515, -122.4090059 37.7463506, -122.4090061 37.7463496, -122.4090063 37.7463487, -122.4090065 37.7463477, -122.4090067 37.7463468, -122.4090068 37.7463458, -122.4090069 37.7463449, -122.409007 37.7463439, -122.4090071 37.746343, -122.4090072 37.746342, -122.4090072 37.7463411, -122.4090072 37.7463401, -122.4090072 37.7463391)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Coso & Precita Mini Park,-122.41812033,37.74624354,0.15048622,199,6555.17547189,451.74778277,Mini Park,Coso & Precita,San Francisco,CA,94110,Bernal/St. Mary's Complex,PSA6,9,Recreation & Park,4200000009.0,11th Senatorial District,Bernal Heights,Ingleside,12th Congressional District,Bernal Heights,17th Assembly District,Bernal Heights,"MULTIPOLYGON (((-122.4179553 37.7460346, -122.4179547 37.7460346, -122.4179541 37.7460346, -122.4179535 37.7460347, -122.4179529 37.7460348, -122.4179523 37.7460349, -122.4179517 37.746035, -122.4179511 37.7460351, -122.4179506 37.7460353, -122.41795 37.7460354, -122.4179494 37.7460356, -122.4179489 37.7460358, -122.4179483 37.746036, -122.4179478 37.7460362, -122.4179473 37.7460365, -122.4179468 37.7460367, -122.4179463 37.746037, -122.4179458 37.7460373, -122.4179453 37.7460376, -122.4179448 37.7460379, -122.4179444 37.7460382, -122.4179439 37.7460385, -122.4179435 37.7460389, -122.4179431 37.7460392, -122.4179427 37.7460396, -122.4179424 37.74604, -122.417942 37.7460404, -122.4179417 37.7460408, -122.4179413 37.7460412, -122.417941 37.7460416, -122.4179408 37.746042, -122.4179405 37.7460424, -122.4179402 37.7460429, -122.41794 37.7460433, -122.4179398 37.7460438, -122.4179396 37.7460442, -122.4179394 37.7460447, -122.4179393 37.7460451, -122.4179392 37.7460456, -122.4179391 37.7460461, -122.417939 37.7460466, -122.4179389 37.746047, -122.4179389 37.7460475, -122.4179388 37.746048, -122.4179388 37.7460485, -122.4179389 37.746049, -122.4179389 37.7460494, -122.417939 37.7460499, -122.417939 37.7460504, -122.4179392 37.7460509, -122.4179393 37.7460513, -122.4179394 37.7460518, -122.4179396 37.7460523, -122.4179398 37.7460527, -122.41794 37.7460532, -122.4179402 37.7460536, -122.4179404 37.746054, -122.4179406 37.7460543, -122.4182454 37.746551, -122.4182455 37.7465513, -122.4182457 37.7465515, -122.4182459 37.7465518, -122.4182461 37.746552, -122.4182463 37.7465523, -122.4182465 37.7465525, -122.4182467 37.7465527, -122.418247 37.7465529, -122.4182472 37.7465532, -122.4182475 37.7465534, -122.4182477 37.7465536, -122.418248 37.7465537, -122.4182483 37.7465539, -122.4182486 37.7465541, -122.4182489 37.7465543, -122.4182492 37.7465544, -122.4182495 37.7465546, -122.4182498 37.7465547, -122.4182501 37.7465548, -122.4182505 37.746555, -122.4182508 37.7465551, -122.4182511 37.7465552, -122.4182515 37.7465553, -122.4182518 37.7465553, -122.4182522 37.7465554, -122.4182525 37.7465555, -122.4182529 37.7465555, -122.4182532 37.7465556, -122.4182536 37.7465556, -122.418254 37.7465556, -122.4182543 37.7465557, -122.4182547 37.7465557, -122.418255 37.7465557, -122.4182554 37.7465556, -122.4182558 37.7465556, -122.4182561 37.7465556, -122.4182565 37.7465555, -122.4182568 37.7465555, -122.4182572 37.7465554, -122.4182575 37.7465554, -122.4182579 37.7465553, -122.4182582 37.7465552, -122.4182586 37.7465551, -122.4182589 37.746555, -122.4182592 37.7465548, -122.4182596 37.7465547, -122.4182599 37.7465546, -122.4182602 37.7465544, -122.4182605 37.7465543, -122.4182608 37.7465541, -122.4182611 37.7465539, -122.4182614 37.7465537, -122.4182616 37.7465536, -122.4182619 37.7465534, -122.4182622 37.7465532, -122.4182624 37.7465529, -122.4182626 37.7465527, -122.4182629 37.7465525, -122.4182631 37.7465523, -122.4182633 37.746552, -122.4182635 37.7465518, -122.4182637 37.7465516, -122.4182638 37.7465513, -122.418264 37.746551, -122.4182642 37.7465508, -122.4182643 37.7465505, -122.4182644 37.7465503, -122.4182646 37.74655, -122.4182647 37.7465497, -122.4182648 37.7465494, -122.4182648 37.7465491, -122.4182649 37.7465489, -122.418265 37.7465486, -122.418265 37.7465483, -122.418265 37.746548, -122.4182651 37.7465477, -122.4182651 37.7465474, -122.4182651 37.7465471, -122.418265 37.7465469, -122.418265 37.7465466, -122.4182108 37.7461437, -122.4182108 37.7461432, -122.4182107 37.7461427, -122.4182106 37.7461423, -122.4182104 37.7461418, -122.4182103 37.7461413, -122.4182101 37.7461409, -122.4182099 37.7461404, -122.4182097 37.74614, -122.4182094 37.7461395, -122.4182092 37.7461391, -122.4182089 37.7461387, -122.4182086 37.7461383, -122.4182083 37.7461379, -122.418208 37.7461375, -122.4182076 37.7461371, -122.4182073 37.7461367, -122.4182069 37.7461363, -122.4182065 37.7461359, -122.4182061 37.7461356, -122.4182056 37.7461353, -122.4182052 37.7461349, -122.4182047 37.7461346, -122.4182043 37.7461343, -122.4182038 37.746134, -122.4182033 37.7461338, -122.4182028 37.7461335, -122.4182023 37.7461332, -122.4182015 37.7461329, -122.417964 37.7460361, -122.4179635 37.7460359, -122.4179629 37.7460357, -122.4179624 37.7460355, -122.4179618 37.7460353, -122.4179612 37.7460352, -122.4179607 37.746035, -122.4179601 37.7460349, -122.4179595 37.7460348, -122.4179589 37.7460347, -122.4179583 37.7460347, -122.4179577 37.7460346, -122.4179571 37.7460346, -122.4179565 37.7460346, -122.4179559 37.7460345, -122.4179553 37.7460346)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Lakeview & Ashton Mini Park,-122.46257271,37.71809145,0.51484395,20,22426.60058509,708.76896534,Mini Park,Ashton & Lakeview Streets,San Francisco,CA,94132,Lake Merced Complex,PSA4,11,Recreation & Park,39.0,11th Senatorial District,"Oceanview,Ingleside,Merced Heights",Taraval,14th Congressional District,"Ingleside Heights,Merced Heights,Oceanview",19th Assembly District,Ocean View,"MULTIPOLYGON (((-122.4627561 37.7180076, -122.4627553 37.7179538, -122.4627536 37.7178919, -122.4625486 37.7178899, -122.4625474 37.7178864, -122.462461 37.7178866, -122.4624304 37.7178867, -122.4624043 37.7178868, -122.4623746 37.7178868, -122.4622881 37.7178871, -122.4622909 37.7181617, -122.4623128 37.7181616, -122.4623259 37.7181616, -122.4623425 37.7181616, -122.462352 37.7181615, -122.4623546 37.7182812, -122.4625635 37.7182817, -122.4627588 37.7182823, -122.4630232 37.7182805, -122.4630224 37.7182118, -122.462936 37.7182124, -122.4628496 37.718213, -122.4628472 37.718007, -122.4627561 37.7180076)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Lessing & Sears Mini Park,-122.45532293,37.70861819,0.16883586,14,7354.49061121,358.08950608,Mini Park,Sickles & Sears,San Francisco,CA,94112,Crocker Complex,PSA3,11,Recreation & Park,30.0,11th Senatorial District,Outer Mission,Ingleside,14th Congressional District,Outer Mission,19th Assembly District,Outer Mission,"MULTIPOLYGON (((-122.455254 37.708452, -122.4551982 37.7085044, -122.4551179 37.7085797, -122.4551463 37.708601, -122.4552968 37.7087145, -122.4554068 37.7087974, -122.455497 37.7087128, -122.4555564 37.708657, -122.455254 37.708452)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Joost & Baden Mini Park,-122.4408417,37.7327328,0.14133386,158,6156.50549517,540.31173994,Mini Park,Joost & West of Baden,San Francisco,CA,94131,Glen Park Complex,PSA5,8,PUC/Clean Water Program,584.0,11th Senatorial District,Sunnyside,Ingleside,12th Congressional District,Sunnyside,17th Assembly District,Outer Mission,"MULTIPOLYGON (((-122.4408032 37.7324292, -122.4408085 37.7326253, -122.4408194 37.7330351, -122.44082 37.7330564, -122.4408205 37.7330751, -122.4409068 37.7330746, -122.4409064 37.7330562, -122.4409053 37.7330128, -122.4409051 37.7330068, -122.4409035 37.73294, -122.4409 37.7328039, -122.4408989 37.7327573, -122.4408938 37.7325555, -122.4408915 37.7324652, -122.4408904 37.7324199, -122.4408899 37.7324018, -122.4408025 37.7324023, -122.4408032 37.7324292)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
24th & York Mini Park,-122.40857387,37.753044,0.13315132,51,5800.06998092,332.00046624,Mini Park,24th & York Streets,San Francisco,CA,94110,Mission Complex,PSA6,9,Recreation & Park,95.0,11th Senatorial District,Mission,Mission,12th Congressional District,Inner Mission,17th Assembly District,Mission,"MULTIPOLYGON (((-122.4084857 37.7528954, -122.4084888 37.7529282, -122.4084889 37.7529287, -122.4084907 37.7529475, -122.4085097 37.7531473, -122.4085103 37.7531537, -122.4085108 37.7531589, -122.408516 37.753213, -122.4085846 37.7532089, -122.4086251 37.7532064, -122.4086252 37.7532064, -122.4086884 37.7532026, -122.4086692 37.7530011, -122.4086632 37.7529376, -122.4086619 37.7529238, -122.4086613 37.7529178, -122.4086581 37.752885, -122.4084857 37.7528954)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Potrero Hill Mini Park,-122.3966542,37.75739557,0.22468105,10416,9787.10714327,630.65535354,Mini Park,22nd Street & Connecticut,San Francisco,CA,94107,Civic Center/Potrero Hill Complex,PSA2,10,Recreation & Park,96.0,11th Senatorial District,Potrero Hill,Bayview,12th Congressional District,Potrero Hill,17th Assembly District,Potrero Hill,"MULTIPOLYGON (((-122.3968709 37.7573403, -122.3961796 37.7573819, -122.3961888 37.7574777, -122.39688 37.7574357, -122.397156 37.757419, -122.3971469 37.7573237, -122.3968709 37.7573403)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Beideman & O'Farrell Mini Park,-122.43859838,37.78240439,0.08771836,106,3821.01075951,245.66542355,Mini Park,O'Farrell & Beideman,San Francisco,CA,94115,Western Addition Complex,PSA2,5,Recreation & Park,201.0,11th Senatorial District,Western Addition,Park,12th Congressional District,Western Addition,19th Assembly District,Western Addition,"MULTIPOLYGON (((-122.4386912 37.7823263, -122.4385156 37.7823487, -122.4384712 37.7823546, -122.4384918 37.7824574, -122.4384918 37.7824575, -122.4384919 37.7824582, -122.4384921 37.7824589, -122.4384923 37.7824596, -122.4384925 37.7824603, -122.4384927 37.782461, -122.4384929 37.7824617, -122.4384932 37.7824624, -122.4384934 37.782463, -122.4384937 37.7824637, -122.438494 37.7824644, -122.4384943 37.7824651, -122.4384946 37.7824658, -122.438495 37.7824664, -122.4384953 37.7824671, -122.4384957 37.7824678, -122.4384961 37.7824684, -122.4384964 37.7824691, -122.4384969 37.7824697, -122.4384973 37.7824703, -122.4384977 37.782471, -122.4384982 37.7824716, -122.4384986 37.7824722, -122.4384991 37.7824728, -122.4384996 37.7824734, -122.4385001 37.782474, -122.4385006 37.7824746, -122.4385011 37.7824752, -122.4385017 37.7824758, -122.4385022 37.7824763, -122.4385028 37.7824769, -122.4385034 37.7824775, -122.438504 37.782478, -122.4385046 37.7824785, -122.4385052 37.7824791, -122.4385058 37.7824796, -122.4385064 37.7824801, -122.4385071 37.7824806, -122.4385077 37.7824811, -122.4385084 37.7824816, -122.4385091 37.7824821, -122.4385098 37.7824825, -122.4385105 37.782483, -122.4385112 37.7824834, -122.4385119 37.7824839, -122.4385126 37.7824843, -122.4385134 37.7824847, -122.4385141 37.7824851, -122.4385149 37.7824855, -122.4385156 37.7824859, -122.4385164 37.7824863, -122.4385172 37.7824866, -122.438518 37.782487, -122.4385188 37.7824873, -122.4385196 37.7824877, -122.4385204 37.782488, -122.4385212 37.7824883, -122.438522 37.7824886, -122.4385229 37.7824889, -122.4385237 37.7824891, -122.4385246 37.7824894, -122.4385254 37.7824897, -122.4385263 37.7824899, -122.4385271 37.7824901, -122.438528 37.7824903, -122.4385289 37.7824905, -122.4385297 37.7824907, -122.4385306 37.7824909, -122.4385315 37.7824911, -122.4385324 37.7824912, -122.4385333 37.7824914, -122.4385342 37.7824915, -122.438535 37.7824916, -122.4385359 37.7824917, -122.4385368 37.7824918, -122.4385377 37.7824919, -122.4385386 37.782492, -122.4385395 37.782492, -122.4385405 37.7824921, -122.4385414 37.7824921, -122.4385423 37.7824921, -122.4385432 37.7824921, -122.4385441 37.7824921, -122.438545 37.7824921, -122.4385459 37.782492, -122.4385468 37.782492, -122.4385477 37.7824919, -122.4385486 37.7824919, -122.4385495 37.7824918, -122.4385504 37.7824917, -122.4385513 37.7824916, -122.4387501 37.7824662, -122.4387439 37.7824392, -122.4387206 37.7823225, -122.4386912 37.7823263)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Cayuga & Lamartine Mini Park,-122.4329453,37.7303435,0.15413288,159,6714.02811183,366.58137422,Mini Park,Cayuga & Lamartine Streets,San Francisco,CA,94112,Glen Park Complex,PSA5,11,PUC/Clean Water Program,586.0,11th Senatorial District,Mission Terrace,Ingleside,14th Congressional District,Mission Terrace,19th Assembly District,Outer Mission,"MULTIPOLYGON (((-122.4329615 37.7301453, -122.4328032 37.7302096, -122.4329509 37.7305433, -122.433116 37.7304976, -122.4329615 37.7301453)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
