location_name,time,date,latitude,longitude
Precita Park,2023/2/5 22:03,2023/2/5,37.7469,-122.412652
Precita Park,2022/11/26 17:25,2022/11/26,37.747061,-122.412475
Louis Sutter Playground,2022/7/3 16:44,2022/7/3,37.721705,-122.414362
Mt. Olympus,2023/4/30 13:08,2023/4/30,37.763419,-122.445542
Mt. Olympus,2023/3/4 15:31,2023/3/4,37.763272,-122.445489
Mt. Olympus,2023/3/4 15:31,2023/3/4,37.763277,-122.445428
Mt. Olympus,2022/5/22 20:01,2022/5/22,37.763275,-122.44552
Mt. Olympus,2022/5/22 20:03,2022/5/22,37.763275,-122.44552
Mt. Olympus,2022/5/22 20:03,2022/5/22,37.763275,-122.44552
Mt. Olympus,2022/5/22 20:03,2022/5/22,37.763275,-122.44552
Mt. Olympus,2022/5/22 16:41,2022/5/22,37.763275,-122.44552
Mt. Olympus,2022/5/22 16:40,2022/5/22,37.763325,-122.445587
Mt. Olympus,2022/5/22 16:42,2022/5/22,37.763313,-122.445625
Mt. Olympus,2022/5/22 16:43,2022/5/22,37.763266,-122.445459
Mt. Olympus,2022/5/22 16:40,2022/5/22,37.763375,-122.445573
Mt. Olympus,2021/5/25 19:59,2021/5/25,37.763366,-122.445573
Edgehill Mountain,2022/8/15 9:38,2022/8/15,37.741959,-122.459728
Edgehill Mountain,2022/8/15 9:34,2022/8/15,37.741874,-122.459374
Edgehill Mountain,2022/7/7 16:58,2022/7/7,37.742313,-122.460123
Edgehill Mountain,2021/6/7 17:34,2021/6/7,37.741752,-122.459512
Presidio Wall Playground,2010/9/25 17:06,2010/9/25,37.791091,-122.454056
Presidio Wall Playground,2022/10/30 9:05,2022/10/30,37.791048,-122.452915
Presidio Wall Playground,2022/6/10 16:51,2022/6/10,37.791069,-122.452156
Presidio Wall Playground,2021/5/16 9:59,2021/5/16,37.79093,-122.452867
Bernal Heights Park,2023/1/20 6:04,2023/1/20,37.743435,-122.41544
Bernal Heights Park,2023/1/20 5:26,2023/1/20,37.743435,-122.41544
Bernal Heights Park,2022/12/17 8:00,2022/12/17,37.744063,-122.414559
Bernal Heights Park,2022/11/25 15:48,2022/11/25,37.74408,-122.415858
Bernal Heights Park,2022/11/27 15:03,2022/11/27,37.742591,-122.416425
Bernal Heights Park,2022/11/27 15:03,2022/11/27,37.742591,-122.416425
Bernal Heights Park,2022/11/27 15:39,2022/11/27,37.742852,-122.411298
Bernal Heights Park,2022/11/27 15:36,2022/11/27,37.7429,-122.411967
Bernal Heights Park,2022/11/27 15:34,2022/11/27,37.742805,-122.41242
Bernal Heights Park,2022/11/27 15:29,2022/11/27,37.742902,-122.413298
Bernal Heights Park,2022/11/27 15:37,2022/11/27,37.742872,-122.411739
Bernal Heights Park,2022/11/27 15:21,2022/11/27,37.743291,-122.415501
Bernal Heights Park,2022/11/27 15:20,2022/11/27,37.743291,-122.415501
Bernal Heights Park,2022/11/27 15:19,2022/11/27,37.743291,-122.415501
Bernal Heights Park,2022/11/27 15:15,2022/11/27,37.743152,-122.41565
Bernal Heights Park,2022/11/27 15:13,2022/11/27,37.742852,-122.415912
Bernal Heights Park,2022/11/27 15:10,2022/11/27,37.742563,-122.4162
Bernal Heights Park,2022/11/27 15:09,2022/11/27,37.742563,-122.4162
Bernal Heights Park,2022/11/27 15:09,2022/11/27,37.742563,-122.4162
Bernal Heights Park,2022/11/27 15:08,2022/11/27,37.742563,-122.4162
Bernal Heights Park,2022/11/27 14:54,2022/11/27,37.742672,-122.416467
Bernal Heights Park,2022/11/27 14:52,2022/11/27,37.743163,-122.41617
Bernal Heights Park,2022/11/27 14:44,2022/11/27,37.743888,-122.415189
Bernal Heights Park,2022/11/27 14:44,2022/11/27,37.743888,-122.415189
Bernal Heights Park,2022/11/27 14:42,2022/11/27,37.743688,-122.414812
Bernal Heights Park,2022/11/27 14:39,2022/11/27,37.743688,-122.414812
Bernal Heights Park,2022/11/27 14:36,2022/11/27,37.743525,-122.414156
Bernal Heights Park,2022/11/27 14:32,2022/11/27,37.743052,-122.41382
Bernal Heights Park,2022/11/27 14:30,2022/11/27,37.742866,-122.413823
Bernal Heights Park,2022/11/27 14:31,2022/11/27,37.743052,-122.41382
Bernal Heights Park,2022/11/27 14:33,2022/11/27,37.743194,-122.41397
Bernal Heights Park,2022/11/27 14:58,2022/11/27,37.742547,-122.416645
Bernal Heights Park,2022/9/18 9:17,2022/9/18,37.742416,-122.416839
Bernal Heights Park,2022/9/26 0:05,2022/9/26,37.742627,-122.413498
Bernal Heights Park,2022/9/26 0:13,2022/9/26,37.742748,-122.410719
Bernal Heights Park,2022/9/13 10:21,2022/9/13,37.742208,-122.416995
Bernal Heights Park,2019/8/4 12:05,2019/8/4,37.742833,-122.412384
Bernal Heights Park,2019/8/4 12:05,2019/8/4,37.742838,-122.412248
Bernal Heights Park,2019/8/4 12:16,2019/8/4,37.742691,-122.416306
Bernal Heights Park,2019/8/4 12:16,2019/8/4,37.742638,-122.416451
Bernal Heights Park,2019/8/4 12:16,2019/8/4,37.74265,-122.416534
Bernal Heights Park,2019/8/4 12:16,2019/8/4,37.74265,-122.416534
Bernal Heights Park,2019/8/4 12:16,2019/8/4,37.74265,-122.416534
Bernal Heights Park,2019/8/4 12:16,2019/8/4,37.74265,-122.416534
Bernal Heights Park,2014/12/25 15:19,2014/12/25,37.743686,-122.416084
Bernal Heights Park,2022/5/30 14:41,2022/5/30,37.743305,-122.415437
Bernal Heights Park,2022/5/30 14:40,2022/5/30,37.743297,-122.41542
Bernal Heights Park,2022/5/30 14:41,2022/5/30,37.743294,-122.41542
Bernal Heights Park,2022/5/30 14:46,2022/5/30,37.743288,-122.41507
Bernal Heights Park,2022/5/15 7:01,2022/5/15,37.743052,-122.414445
Bernal Heights Park,2022/5/15 7:02,2022/5/15,37.743313,-122.41462
Bernal Heights Park,2019/4/6 11:30,2019/4/6,37.74345,-122.412392
Bernal Heights Park,2019/4/6 11:30,2019/4/6,37.743166,-122.41217
