category_name,park_name,posts_count,facilities_count
Neighborhood Park or Playground,29th & Diamond Open Space,5,0
Neighborhood Park or Playground,Alamo Square,188,3
Neighborhood Park or Playground,Alice Marble Tennis Courts and George Sterling Park,6,2
Neighborhood Park or Playground,Alta Plaza Park,18,4
Neighborhood Park or Playground,Aptos Playground and Park,3,2
Neighborhood Park or Playground,Balboa Natural Area,1,0
Neighborhood Park or Playground,Balboa Park,17,10
Neighborhood Park or Playground,Berkeley Way Open Space,1,0
Neighborhood Park or Playground,Bernal Heights Park,150,1
Neighborhood Park or Playground,Bernal Heights Rec Center,6,2
Neighborhood Park or Playground,Betty Ann Ong Chinese Rec Center,60,2
Neighborhood Park or Playground,Billy Goat Hill,5,1
Neighborhood Park or Playground,Brooks Park,2,0
Neighborhood Park or Playground,Buchanan Street Mall,2,1
Neighborhood Park or Playground,Carl Larsen Park,5,5
Neighborhood Park or Playground,Cayuga Playground,1,3
Neighborhood Park or Playground,Corona Heights Park,380,6
Neighborhood Park or Playground,Crocker Amazon Playground,13,8
Neighborhood Park or Playground,Duboce Park,56,2
Neighborhood Park or Playground,Duncan & Castro Open Space,1,1
Neighborhood Park or Playground,Edgehill Mountain,4,1
Neighborhood Park or Playground,Esprit Park,2,1
Neighborhood Park or Playground,Eureka Valley Rec Center,5,3
Neighborhood Park or Playground,Excelsior Playground,7,2
Neighborhood Park or Playground,Father Alfred E. Boeddeker Park,3,2
Neighborhood Park or Playground,Fay Park,98,0
Neighborhood Park or Playground,Francisco Park,568,2
Neighborhood Park or Playground,Franklin Square,13,3
Neighborhood Park or Playground,Garfield Square,4,4
Neighborhood Park or Playground,George Christopher Playground,7,2
Neighborhood Park or Playground,Golden Gate Heights Park,19,1
Neighborhood Park or Playground,Grand View Park,23,1
Neighborhood Park or Playground,Grattan Playground,2,4
Neighborhood Park or Playground,Hawk Hill,9,1
Neighborhood Park or Playground,Hayes Valley Playground,1,3
Neighborhood Park or Playground,Heron's Head Park,1,0
Neighborhood Park or Playground,Holly Park,133,4
